text,created_at,id,user_screen_name,user_location,user_time_zone,coordinates,retweeted,in_reply_to_status_id,in_reply_to_user_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 19:02,8.57E+17,Kixcleiusv,"Salem, Oregon",Pacific Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @crileyauthor A unique novella Addy has been wondering earth since the 1300s What would you do with that much time Summer 2017 htt,4/26/17 19:01,8.57E+17,AuthorJProctor,,Eastern Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@PicassoKnight Cool beanz Ill DM you my email addy I appreciate it,4/26/17 18:59,8.57E+17,vanitynosin,"Tallahassee, FL",Eastern Time (US & Canada),,FALSE,8.57E+17,98095084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @edgarsnyder @AMalesiewski Good morning If you DM us your addy wed be happy to send you an autograph,4/26/17 18:59,8.57E+17,A_Malesiewski,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 18:59,8.57E+17,JefCtaner,Oklahoma City,Pacific Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 18:57,8.57E+17,KiylaFelnel,Utah,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@AddyFinch @NatalieWood613 Ok phew just checking   Also,4/26/17 18:57,8.57E+17,spbarney,"Ottawa, ON",Eastern Time (US & Canada),,FALSE,8.57E+17,1969528196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday FundayJP the dancing horse in the function RT  FAV for the addy@AlexisBarfield @Functionprod @JPHorse,4/26/17 18:57,8.57E+17,_SHAY2TIMES,Chandler,Pacific Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@BenGarnett88 YEEEEAH  Whats his addy lad Reckon you could get me anymore shouts like that  Ill pay 35 a sho,4/26/17 18:56,8.57E+17,TropicalTipping,,,,FALSE,8.57E+17,144898855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@theres2moons @graveyardsoup Annie go give addy a hug,4/26/17 18:55,8.57E+17,modmice,echo Â_Â“Â© 20 Â_Â“Â© she/they,Pacific Time (US & Canada),,FALSE,8.57E+17,2857046373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
better get her Addy and send the spoon over Thank God I live in Canada we dont allow wooden spoon imports,4/26/17 18:55,8.57E+17,gwbright,Sunshine Coast,Pacific Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 18:55,8.57E+17,AkroMEnD,Florida USA,Pacific Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@AyyAddy Lmfao Maya ans Miguel head ass,4/26/17 18:53,8.57E+17,adrieejaee,Chicago. ,Arizona,,FALSE,8.57E+17,81210284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Addys Work Miracles  @1future,4/26/17 18:53,8.57E+17,VBABYMFB,South Florida ,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO NEED THE ADDY,4/26/17 18:53,8.57E+17,Air_Jett,Memphis Â_Â“_Â´Ã™Âè Chicago ,Pacific Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
send me the addy to these 20 nails,4/26/17 18:52,8.57E+17,danilauren_,east coastin',Atlantic Time (Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @EAZYtobeE Addy Droppin Friday At 11am  Parking Will Be Available Across The Street From The House #SafeHouse3,4/26/17 18:51,8.57E+17,JWARDSP,via Lafayette,Central Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@addy Help me craft I wanna learn how I want to make a new paddle,4/26/17 18:51,8.57E+17,jcblaze6,,,,FALSE,8.57E+17,523645934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 18:51,8.57E+17,dachehira,Pennsylvania,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Addy is in a poetic mood,4/26/17 18:51,8.57E+17,Toby_Regbo91,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 18:49,8.57E+17,tyO99p6,"Wisconsin Dells, Wisconsin",Pacific Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@RaezyWinston Abeg dm me ur email Addy agin,4/26/17 18:48,8.57E+17,SlayVelli,,West Central Africa,,FALSE,8.57E+17,241529459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @SMcG33 Hit us up for addy,4/26/17 18:47,8.57E+17,IriannaKeith,New Orleans Â_Â“_Â´Ã™Âè Houston,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 18:47,8.57E+17,carlosfeerll,Vermont,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @SMcG33 Hit us up for addy,4/26/17 18:46,8.57E+17,Makailamarie__,"Houston, TX",,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @SMcG33 Hit us up for addy,4/26/17 18:45,8.57E+17,Screamin_Tweets,Houston,Mountain Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 18:45,8.57E+17,SammikcSie,Houston Texas,Pacific Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @otfdamien831 Party Tonight In Greenfield Hmu for the Addy starts at 1100 Byob lets get it crackin,4/26/17 18:44,8.57E+17,v79jEbCajOrqVcX,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamba sandbrook10 If not can you DM over the order number DOB and email addy Then we can take a closer look,4/26/17 18:44,8.57E+17,kmgcyu,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
updated official official flyer with the addy,4/26/17 18:43,8.57E+17,_catmand00d,"Aguitada In Edinburg, TX",Central Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @saulv27 my boy @dopeitsgotti throwing Gladstones prom after party  hit me for the addy,4/26/17 18:43,8.57E+17,angenlinavfsam,,Pacific Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 18:42,8.57E+17,KimDtBiase4,"New York, London.",,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@sandbrook10 If not can you DM over the order number DOB and email addy Then we can take a closer look,4/26/17 18:41,8.57E+17,ASOS_HeretoHelp,London,London,,FALSE,8.57E+17,3003684342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@F0LK1E I wasnt laughing lmao thats just the meme but I was on their doin interview about addy,4/26/17 18:41,8.57E+17,VinDrank2Muchh,,Pacific Time (US & Canada),,FALSE,8.57E+17,2772825941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 18:40,8.57E+17,ewddingsale,"New York, NY",,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@CoverdaleKarl I only have 1 email addy Still nothing,4/26/17 18:38,8.57E+17,lorrainedanni,Snodland.Kent.,,,FALSE,8.57E+17,468673948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@KingJaden11 Bet it jus hit me not my muva me Lls n Ill send you the addy if you need it,4/26/17 18:38,8.57E+17,skip_OO, ,Eastern Time (US & Canada),,FALSE,8.57E+17,77340867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@addycarter theyre totally twinning now,4/26/17 18:38,8.57E+17,ambrilynichelle,Vibin',,,FALSE,8.57E+17,330437703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the reason i dont do relationships   sighs  i have to come clean my Count @snakestwt bit me Im His He Claimed Me my bloodaddy,4/26/17 18:38,8.57E+17,haiuns, ( RP Â_Â“_ KRPLINERS ),,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 18:38,8.57E+17,NakaiGsema,Ohio,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
