text,created_at,id,user_screen_name,user_location,user_time_zone,coordinates,retweeted,in_reply_to_status_id,"in_reply_to_user_id""With Genetically Modified Crops"," We Can Reclaim Unfarmable Fields the Size of France https://t.co/KInAnuqKe7 #sustainability #science #GMOs""",4/26/17 17:21,8.57283E+17,TheHappyTalent,,,,FALSERT @LatifahAB_: #تقنيات_حيويه_يشاركون2 genetically modified plants https://t.co/PlcUKG3v10,2017-04-26 19:11:03,857311075058032640,ALHANOOFAK5,"saudi,Alshrgya",,,False,,
RT @Trendplayer007: #China appears to be resisting the planting Genetically Modified Crops on a commercial scale - Well done!  https://t.co…,2017-04-26 19:11:00,857311065448828934,griffisk,#TGDN  #TCOT  #CCOT,Central Time (US & Canada),,False,,
@piersmorgan shes 100% fake. She got a GMO Booty,2017-04-26 19:10:38,857310972331118593,NikolaiBV,440hio / FEMA Region 5,Indiana (East),,False,857310834728603649,216299334
"PEI salmon breeders, AquaBounty indulge in an impulsive GMO operation.
https://t.co/QwZJXdpakh
&gt;ﾟ)))彡
#PEIPoli #PEI #CDNPoli #MCGA",2017-04-26 19:09:59,857310808895881220,Xlysh,,Quito,,False,,
Monsanto Isn't Feeding the World—It's Killing Our Children #GMOs #GMO https://t.co/ksAd4zPrz5 /fd https://t.co/VGgtiPrmDa,2017-04-26 19:09:28,857310679791005697,NoGMOsVerified,,,,False,,
#China appears to be resisting the planting Genetically Modified Crops on a commercial scale - Well done!  https://t.co/uvqQIGucHj,2017-04-26 19:08:57,857310547234234368,Trendplayer007,,,,False,,
#Monsanto Continues to lose ground worldwide except in the  Good Old #USA  https://t.co/ZEaNYPPbzB,2017-04-26 19:08:53,857310530146586624,yerissa_blondee,,Pacific Time (US & Canada),,False,,
RT @LatifahAB_: #تقنيات_حيويه_يشاركون2 genetically modified plants https://t.co/PlcUKG3v10,2017-04-26 19:08:44,857310493559672834,mmaryooooomm,Saudi Arabia - AL.hassa,Kuwait,,False,,
RT @ally_calli: #CMST100M The topic I've chosen for my advocacy speech is pro genetic engineering.,2017-04-26 19:08:42,857310485267533824,Cs2Zaaft2WGD6oh,,,,False,,
"RT @FatimahBuhaimed: #تقنيات_حيويه_يشاركون2
genetic engineering https://t.co/q3tl8ptgzF",2017-04-26 19:08:14,857310369181773824,hailah7,Dammam,Quito,,False,,
RT @NonGMOProject: World’s first #GMO fish factory could be in Canada. https://t.co/W5dBuKGJa5 https://t.co/SXqnRbhmSv,2017-04-26 19:08:00,857310310314725377,JesseWCampbell,South Carolina,Eastern Time (US & Canada),,False,,
RT @LatifahAB_: #تقنيات_حيويه_يشاركون2 genetically modified plants https://t.co/PlcUKG3v10,2017-04-26 19:07:40,857310225166196738,hailah7,Dammam,Quito,,False,,
"everybody ignoring my texts today, damn",2017-04-26 19:06:52,857310025940905985,___gmo,"Memphis, TN",Eastern Time (US & Canada),,False,,
RT @AlexEpstein: Genetic engineering with #CRISPR could allow precision targetng of germs resistant to antibiotics. #HumanFlourishing https…,2017-04-26 19:06:46,857310000385052672,Bioeng_Student,,,,False,,
RT @LatifahAB_: #تقنيات_حيويه_يشاركون2 genetically modified plants https://t.co/PlcUKG3v10,2017-04-26 19:06:00,857309804980834304,KBINESSA1,,,,False,,
"By 2018, Whole Foods will require the labeling of all genetically-modified foods sold in their store https://t.co/z47W1HJXfA",2017-04-26 19:05:29,857309674735009795,seokaoba,"Zaragoza, España",Greenland,,False,,
RT @LatifahAB_: #تقنيات_حيويه_يشاركون2 genetically modified plants https://t.co/PlcUKG3v10,2017-04-26 19:05:23,857309649250504704,79any_ibrahim,,Pacific Time (US & Canada),,False,,
A lot of NON-GMO activists on Hawaii eat meat and dairy from animals that are fed Monsanto GMO grains. https://t.co/9Rmt3YPNkJ,2017-04-26 19:05:08,857309589468987392,vegan_hawaii,✨HAWAII✨,Hawaii,,False,,
"Ladies and gentlemen, listen up..... we are being attacked in many forms....our food (genetically modified), our... https://t.co/MKB1VXYlVB",2017-04-26 19:04:14,857309360195862528,juiceCjuice,"940 dominguez suite k, Carson",,,False,,
"RT @scienega: ""The GMO scientific consensus – it's unequivocal and overwhelming"" https://t.co/uJ35pgiLpg",2017-04-26 19:04:06,857309328465899521,ItsRobbAllen,"Tampa, Florida",Eastern Time (US & Canada),,False,,
Spider Man is a GMO...,2017-04-26 19:03:51,857309265152929793,blackrosesoulx,,Atlantic Time (Canada),,False,,
"@andrewzimmern no more GMO food I want to buy it from the farmer &amp; save money from Doctors that tell you ""eat whate… https://t.co/1p08LmkRip",2017-04-26 19:03:49,857309257766752260,normallife36,,,,False,857306483708579840,17008726
"Brilliant, please retweet -  GM crops - coalition agenda ignores public opinion and current research https://t.co/Srm425YmRp",2017-04-26 19:03:42,857309228436000768,epicMA,"Birmingham, UK",London,,False,,
"""I really regret eating #healthy today"". Said no one ever. #choices #organic #nonGMO #alkaline https://t.co/KYRQmtDsN3",2017-04-26 19:03:18,857309127600635904,My_Divine_Life,Global,,,False,,
This lil bulk gain made me go from lil chicken strip to a plumped modified GMO chicken 😌,2017-04-26 19:02:40,857308967877332992,Fernbantu,,,,False,,
Shout out to @countrypetn for making quality pet food that's #raw #nongmo #allnatural #grainfree YUM ❤https://t.co/SiBpOC7o75,2017-04-26 19:02:11,857308843931512833,DieselDonnaD,"Sarasota, FL",Atlantic Time (Canada),,False,,
"i will NEVER stop laughing at ""genetically modified annoyance""",2017-04-26 19:02:06,857308826579513344,maverickiris,"Washington, USA",Pacific Time (US & Canada),,False,,
"👉👉👉👉SIGN PETITION TO STOP ALLOWING GMO'S IN YOUR FOOD
#BETRAYAL
🚨🚨🚨🚨#BREAKING: Trump pushes #GMOs in #ExecutiveOrder
https://t.co/d3gtZjnLFA",2017-04-26 19:01:14,857308608295469057,opalessense,"Tennessee, USA",Eastern Time (US & Canada),,False,,
@justicehall69 @LotusOak @nocompulsoryvac Gates wants to lower the population &amp; make as much money as he can while… https://t.co/qLcypvCOSM,2017-04-26 19:01:12,857308598598344704,AlafiaGrandma,,,,False,857306008338681860,810924463596240896
AquaBounty proposes to set up commercial GMO salmon production in Rollo Bay West - https://t.co/QhWUXtjhoi #PEIPoli #GMO,2017-04-26 19:01:01,857308552263761920,ecojustice_ca,Canada,Pacific Time (US & Canada),,False,,
RT @LatifahAB_: #تقنيات_حيويه_يشاركون2 genetically modified plants https://t.co/PlcUKG3v10,2017-04-26 19:00:57,857308536551858177,saratly,Where not-the-lonely ones go,Pacific Time (US & Canada),,False,,
RT @LatifahAB_: #تقنيات_حيويه_يشاركون2 genetically modified plants https://t.co/PlcUKG3v10,2017-04-26 19:00:31,857308425713307648,suk4ina_,,Riyadh,,False,,
@Pioneer_Pet thanks for providing our shelter with SmartCat All Natural Litter #nongmo #cats #adoptdontshop… https://t.co/Y56QXs8GL4,2017-04-26 19:00:08,857308327994372098,TreeHouseCats,"Chicago, IL",Central Time (US & Canada),,False,,3246492185
PT2 ESAU ROTHSCHILD NEW GENETICALLY MODIFIED TREESSMH https://t.co/ZFuFnzufZb via @YouTube,2017-04-26 18:59:38,857308205344595968,RADIOGAULE,,,,False,,
RT @LatifahAB_: #تقنيات_حيويه_يشاركون2 genetically modified plants https://t.co/PlcUKG3v10,2017-04-26 18:59:27,857308158104096771,Elaf_a47,,,,False,,
"RT @TheToddWilliams: [grocery produce aisle]
ME: Hi, are these genetically modified carrots?
CLERK: No, why do you ask?
CARROT: Yeah, why d…",2017-04-26 18:59:23,857308140018249728,GordoHelio,Twitter's Actual Cat.,London,,False,,
RT @Gil_Don: #Doctors Warn: Avoid #GM #Food - #GMO #GMF #ExpediaChat #TaxReform #NetNeutrality #Ceres17 #Health #agriculture #USA https://t…,2017-04-26 18:58:20,857307878310330368,magroupUK,United Kingdom,,,False,,
RT @PamelaDrew: @lilredhsb2 @deNutrients @robles_jdaniel @JulieM_273 @smgamesafari @adfoozsixx @Oteachjohn @30ASeawitch @peterdoodes @H_O_G…,2017-04-26 18:58:05,857307815261503488,Flwrgirl66x,,,,False,,
