	text	created_at	id	user_screen_name	user_location	user_time_zone	coordinates	retweeted	in_reply_to_status_id	"in_reply_to_user_id""With Genetically Modified Crops"	" We Can Reclaim Unfarmable Fields the Size of France https://t.co/KInAnuqKe7 #sustainability #science #GMOs"""	4/26/17 17:21	8.57283E+17	TheHappyTalent	Unnamed: 14	Unnamed: 15	Unnamed: 16	FALSERT @LatifahAB_: #تقنيات_حيويه_يشاركون2 genetically modified plants https://t.co/PlcUKG3v10	2017-04-26 19:11:03	857311075058032640	ALHANOOFAK5	saudi,Alshrgya	Unnamed: 22	Unnamed: 23	False	Unnamed: 25	Unnamed: 26
0	"RT @Trendplayer007 #China appears to be resisting the planting Genetically Modified Crops on a commercial scale  Well done  
"	2017-04-26 19:11:00	857311065448828934	griffisk	#TGDN  #TCOT  #CCOT	Central Time (US & Canada)		False																			
1	"@piersmorgan shes 100 fake She got a GMO Booty
"	2017-04-26 19:10:38	857310972331118593	NikolaiBV	440hio / FEMA Region 5	Indiana (East)		False	8.57310834729e+17	216299334.0																	
2	"PEI salmon breeders AquaBounty indulge in an impulsive GMO operation

gt
#PEIPoli #PEI #CDNPoli #MCGA
"	2017-04-26 19:09:59	857310808895881220	Xlysh		Quito		False																			
3	"Monsanto Isnt Feeding the WorldIts Killing Our Children #GMOs #GMO  fd 
"	2017-04-26 19:09:28	857310679791005697	NoGMOsVerified				False																			
4	"#China appears to be resisting the planting Genetically Modified Crops on a commercial scale  Well done  
"	2017-04-26 19:08:57	857310547234234368	Trendplayer007				False																			
5	"#Monsanto Continues to lose ground worldwide except in the  Good Old #USA  
"	2017-04-26 19:08:53	857310530146586624	yerissa_blondee		Pacific Time (US & Canada)		False																			
6	"RT @LatifahAB_ #__2 genetically modified plants 
"	2017-04-26 19:08:44	857310493559672834	mmaryooooomm	Saudi Arabia - AL.hassa	Kuwait		False																			
7	"RT @ally_calli #CMST100M The topic Ive chosen for my advocacy speech is pro genetic engineering
"	2017-04-26 19:08:42	857310485267533824	Cs2Zaaft2WGD6oh				False																			
8	"RT @FatimahBuhaimed #__2
genetic engineering 
"	2017-04-26 19:08:14	857310369181773824	hailah7	Dammam	Quito		False																			
9	"RT @NonGMOProject Worlds first #GMO fish factory could be in Canada  
"	2017-04-26 19:08:00	857310310314725377	JesseWCampbell	South Carolina	Eastern Time (US & Canada)		False																			
10	"RT @LatifahAB_ #__2 genetically modified plants 
"	2017-04-26 19:07:40	857310225166196738	hailah7	Dammam	Quito		False																			
11	"everybody ignoring my texts today damn
"	2017-04-26 19:06:52	857310025940905985	___gmo	Memphis, TN	Eastern Time (US & Canada)		False																			
12	"RT @AlexEpstein Genetic engineering with #CRISPR could allow precision targetng of germs resistant to antibiotics #HumanFlourishing 
"	2017-04-26 19:06:46	857310000385052672	Bioeng_Student				False																			
13	"RT @LatifahAB_ #__2 genetically modified plants 
"	2017-04-26 19:06:00	857309804980834304	KBINESSA1				False																			
14	"By 2018 Whole Foods will require the labeling of all geneticallymodified foods sold in their store 
"	2017-04-26 19:05:29	857309674735009795	seokaoba	Zaragoza, España	Greenland		False																			
15	"RT @LatifahAB_ #__2 genetically modified plants 
"	2017-04-26 19:05:23	857309649250504704	79any_ibrahim		Pacific Time (US & Canada)		False																			
